Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
a,Assets (Net Acquisition of),A,,0,
as,Assets - short position,AS,,1,
b,Balance (Credits minus Debits),B,,2,
cl,Contingent liabilities (EDP and GFS),CL,,3,
c_en,Credit (Environment + Economy),C_EN,,4,
c,Credit (Resources),C,,5,
d_en,Debit (Environment + Economy),D_EN,,6,
d,Debit (Uses),D,,7,
ec,Economy to environment,EC,,8,
de,End use,DE,,9,
de_en,End use (Environment + Economy),DE_EN,,10,
der,"End use, of which emissions relevant",DER,,11,
en,Environment to economy,EN,,12,
ai,Gross acquisition of assets (increase),AI,,13,
ld,Gross decrease in liabilities,LD,,14,
li,Gross incurrence of liabilities,LI,,15,
ad,Gross sales of assets (decrease),AD,,16,
fi,Inflows (reserves template),FI,,17,
l,Liabilities (Net Incurrence of),L,,18,
n,Net (Assets minus Liabilities),N,,19,
ni,Net FDI Inward,NI,,20,
no,Net FDI Outward,NO,,21,
ne,Net Liabilities (Liabilities minus Assets),NE,,22,
fn,Net flows (reserves template),FN,,23,
ii,Net income on inward FDI,II,,24,
io,Net income on outward FDI,IO,,25,
_z,Not applicable,_Z,,26,
fo,Outflows (reserves template),FO,,27,
dt,Transformation use,DT,,28,
dt_en,Transformation useÂ (Environment + Economy),DT_EN,,29,
_x,Unspecified,_X,,30,
